qc_id,medidor,ilicito,mt,anom_slect,anom_clect,comentario,fecha,hora,lat y,lon x,icon_url
"262",841rf9,NO,NO,NA,NA,,2021/11/01,1:22:02,25.67724,-100.34009,./0.png
"263",843jy4,NO,NO,NA,C5-SinSello,,2021/11/01,12:54:01,25.68269,-100.3437,./0.png
"264",847y9d,NO,NO,NA,C5-SinSello,,2021/11/01,12:29:41,25.68375,-100.34212,./0.png
"265",853t4m,NO,NO,NA,NA,,2021/11/01,1:15:58,25.67754,-100.34099,./0.png
"266",854drd,NO,NO,NA,C5-SinSello,,2021/11/01,12:43:43,25.68287,-100.34367,./0.png
"267",854drd,NO,NO,NA,C5-SinSello,,2021/11/01,12:47:51,25.68401,-100.34176,./0.png
"268",856b3u,NO,NO,NA,NA,,2021/11/01,2:50:29,25.67695,-100.33673,./0.png
"269",858drd,NO,NO,NA,C5-SinSello,,2021/11/01,12:32:41,25.68422,-100.34293,./0.png
"270",858re9,NO,NO,NA,NA,,2021/11/01,1:26:56,25.67721,-100.33951,./0.png
"271",85p0e7,NO,NO,NA,C5-SinSello,,2021/11/01,12:26:37,25.68432,-100.34323,./0.png
"272",860drh,NO,NO,NA,NA,,2021/11/01,1:29:25,25.67774,-100.33941,./0.png
"273",89n0p9,NO,NO,NA,NA,,2021/11/01,1:09:16,25.68222,-100.34333,./0.png
"274",89nk78,NO,NO,NA,NA,,2021/11/01,2:23:25,25.67617,-100.33814,./0.png
"275",8a044y,NO,NO,NA,NA,,2021/11/01,1:27:42,25.67715,-100.33933,./0.png
"276",8b293t,NO,NO,NA,NA,,2021/11/01,1:36:19,25.67763,-100.33889,./0.png
"277",8ja474,NO,NO,NA,NA,,2021/11/01,12:57:36,25.68209,-100.34257,./0.png
"278",8k83v2,NO,NO,NA,NA,,2021/11/01,1:03:20,25.68211,-100.34311,./0.png
"279",8l07c9,NO,NO,NA,NA,,2021/11/01,2:06:55,25.68234,-100.34538,./0.png
"280",8l87p4,NO,NO,NA,NA,,2021/11/01,2:49:14,25.67705,-100.33693,./0.png
"281",8n2e04,NO,NO,NA,C5-SinSello,,2021/11/01,12:31:33,25.68386,-100.34295,./0.png
"282",8r618j,NO,NO,NA,NA,,2021/11/01,2:53:13,25.67711,-100.33727,./0.png
"283",8r983j,NO,NO,NA,C5-SinSello,,2021/11/01,12:55:52,25.68217,-100.3427,./0.png
"284",8t507c,NO,NO,NA,NA,,2021/11/01,1:13:10,25.67707,-100.34067,./0.png
"285",8w63r5,NO,NO,NA,C5-SinSello,,2021/11/01,12:30:34,25.68375,-100.34212,./0.png
"286",8x5b56,NO,NO,NA,NA,,2021/11/01,12:36:24,25.68393,-100.3427,./0.png
"287",8xe800,NO,NO,NA,NA,,2021/11/01,2:43:05,25.67678,-100.33771,./0.png
"288",906drb,NO,NO,NA,C5-SinSello,,2021/11/01,12:45:06,25.68274,-100.34319,./0.png
"289",90c2l5,NO,NO,NA,NA,,2021/11/01,12:36:08,25.68393,-100.3427,./0.png
"290",90nl55,NO,NO,NA,C5-SinSello,,2021/11/01,12:30:17,25.68375,-100.34212,./0.png
"291",91r45v,NO,NO,NA,NA,,2021/11/01,2:11:49,25.67718,-100.33878,./0.png
"292",944n5j,NO,NO,NA,NA,,2021/11/01,1:36:46,25.6777,-100.33871,./0.png
"293",94v59x,NO,NO,NA,C5-SinSello,,2021/11/01,12:29:53,25.68375,-100.34212,./0.png
"294",955fru,NO,NO,NA,C5-SinSello,,2021/11/01,12:37:44,25.68345,-100.34191,./0.png
"295",958ftc,NO,NO,NA,NA,,2021/11/01,12:32:47,25.68405,-100.34249,./0.png
"296",963ab9,NO,NO,NA,NA,,2021/11/01,12:53:49,25.68237,-100.34304,./0.png
"297",96n6c3,NO,NO,NA,NA,,2021/11/01,2:25:57,25.67668,-100.33825,./0.png
"298",97n7c6,NO,NO,NA,NA,,2021/11/01,1:12:38,25.67707,-100.34067,./0.png
"299",989wt8,NO,NO,NA,NA,,2021/11/01,12:43:09,25.68336,-100.34163,./0.png
"300",989wt9,NO,NO,NA,C5-SinSello,,2021/11/01,1:01:19,25.68193,-100.34259,./0.png
"301",9b280n,NO,NO,NA,NA,,2021/11/01,1:31:46,25.67711,-100.33908,./0.png
"302",9b330n,NO,NO,NA,C5-SinSello,,2021/11/01,1:49:29,25.68269,-100.34591,./0.png
"303",9b343n,NO,NO,NA,NA,,2021/11/01,1:31:34,25.67711,-100.33908,./0.png
"304",9b353n,NO,NO,NA,NA,,2021/11/01,1:32:15,25.67711,-100.33908,./0.png
"305",9b961n,NO,NO,NA,NA,,2021/11/01,1:14:07,25.68278,-100.34436,./0.png
"306",9bc313,NO,NO,NA,NA,,2021/11/01,1:04:51,25.68225,-100.34286,./0.png
"307",9j479h,NO,NO,NA,NA,,2021/11/01,1:08:17,25.68235,-100.3433,./0.png
"308",9r644h,NO,NO,NA,NA,,2021/11/01,2:21:27,25.67626,-100.33853,./0.png
"309",9tw249,NO,SI,NA,NA,,2021/11/01,1:23:55,25.67696,-100.3399,./0.png
"310",9xe436,NO,NO,NA,C5-SinSello,,2021/11/01,12:36:21,25.68315,-100.34309,./0.png
"311",b565g0,NO,NO,NA,NA,,2021/11/01,12:32:44,25.6768,-100.34113,./0.png
"312",b770f1,NO,NO,NA,M-Obsoleto,,2021/11/01,12:40:34,25.68298,-100.34379,./0.png
"313",b770f1,NO,NO,NA,M-Obsoleto,,2021/11/01,12:49:57,25.68298,-100.34387,./0.png
"314",b884e6,NO,NO,NA,NA,,2021/11/01,2:22:28,25.67617,-100.33814,./0.png
"315",bc556f,NO,NO,NA,NA,,2021/11/01,2:21:55,25.67627,-100.33806,./0.png
"316",bc680h,NO,NO,NA,NA,ok,2021/11/01,12:35:18,25.6834,-100.34306,./0.png
"317",bc729j,NO,NO,NA,NA,,2021/11/01,2:44:20,25.67737,-100.33763,./0.png
"318",c946w6,NO,NO,NA,NA,,2021/11/01,12:37:44,25.68378,-100.34254,./0.png
"319",cw564f,NO,NO,NA,NA,,2021/11/01,2:28:02,25.67697,-100.33824,./0.png
"320",cx244a,NO,NO,NA,C5-SinSello,,2021/11/01,12:31:07,25.68381,-100.34205,./0.png
"321",d02r06,NO,NO,NA,NA,,2021/11/01,1:52:41,25.68219,-100.34561,./0.png
"322",d06k33,NO,NO,NA,NA,,2021/11/01,2:43:56,25.67678,-100.33771,./0.png
"323",d4479r,NO,NO,NA,NA,,2021/11/01,1:29:38,25.67799,-100.33927,./0.png
"324",d459yd,NO,SI,NA,NA,,2021/11/01,12:06:23,25.67721,-100.34195,./0.png
"325",d460yb,NO,SI,NA,NA,ok,2021/11/01,12:43:24,25.68287,-100.34367,./0.png
"326",d460yb,NO,SI,NA,NA,ok,2021/11/01,12:48:15,25.68301,-100.34339,./0.png
